dataset,phylo_prec,phylo_rec,phylo_f1,phylo_multi_prec,phylo_multi_rec,phylo_multi_f1,phylo_complex_prec,phylo_complex_rec,phylo_complex_f1,tnet_prec,tnet_rec,tnet_f1,tnet_mul_prec,tnet_mul_rec,tnet_mul_f1,tnet_boot_prec,tnet_boot_rec,tnet_boot_f1
SIR003_sl1000_mr05_nv5_4,1,0.786,0.88,1,0.786,0.88,1,0.786,0.88,0.857,0.857,0.857,0.917,0.786,0.846,1,0.786,0.88
SIR003_sl1000_mr05_nv5_5,1,0.455,0.625,1,0.455,0.625,1,0.455,0.625,0.818,0.818,0.818,1,0.727,0.842,1,0.455,0.625
SIR003_sl1000_mr05_nv5_6,0.75,0.273,0.4,0.571,0.364,0.444,0.571,0.364,0.444,0.455,0.455,0.455,0.556,0.455,0.5,1,0.364,0.533
SIR003_sl1000_mr05_nv5_7,0.967,0.392,0.558,0.667,0.514,0.58,0.661,0.527,0.586,0.56,0.568,0.564,0.704,0.514,0.594,0.857,0.486,0.621
SIR003_sl1000_mr05_nv5_8,0.889,0.32,0.471,0.882,0.6,0.714,0.882,0.6,0.714,0.462,0.48,0.471,0.733,0.44,0.55,0.875,0.56,0.683
SIR003_sl1000_mr05_nv5_9,0.714,0.417,0.526,0.867,0.542,0.667,0.875,0.583,0.7,0.5,0.542,0.52,0.591,0.542,0.565,0.867,0.542,0.667
SIR003_sl1000_mr1_nv10_1,1,0.471,0.64,0.812,0.765,0.788,0.812,0.765,0.788,0.706,0.706,0.706,0.786,0.647,0.71,0.867,0.765,0.812
SIR003_sl1000_mr1_nv10_10,0.625,0.455,0.526,0.75,0.545,0.632,0.75,0.545,0.632,0.455,0.455,0.455,0.625,0.455,0.526,0.778,0.636,0.7
SIR003_sl1000_mr1_nv10_11,1,0.6,0.75,0.75,0.6,0.667,0.75,0.6,0.667,0.7,0.7,0.7,0.778,0.7,0.737,0.75,0.6,0.667
SIR003_sl1000_mr1_nv10_12,0.923,0.444,0.6,0.706,0.444,0.545,0.737,0.519,0.609,0.552,0.593,0.571,0.682,0.556,0.612,0.789,0.556,0.652
SIR003_sl1000_mr1_nv10_13,0.2,0.167,0.182,0.8,0.667,0.727,0.8,0.667,0.727,0.167,0.167,0.167,0.167,0.167,0.167,0.8,0.667,0.727
SIR003_sl1000_mr1_nv10_14,0.952,0.556,0.702,0.818,0.75,0.783,0.818,0.75,0.783,0.75,0.75,0.75,0.806,0.694,0.746,0.897,0.722,0.8
SIR003_sl1000_mr1_nv10_15,0.667,0.364,0.471,0.778,0.636,0.7,0.7,0.636,0.667,0.636,0.636,0.636,0.636,0.636,0.636,0.818,0.818,0.818
SIR003_sl1000_mr1_nv10_16,0.769,0.5,0.606,0.833,0.5,0.625,0.833,0.5,0.625,0.524,0.55,0.537,0.769,0.5,0.606,0.833,0.5,0.625
SIR003_sl1000_mr1_nv10_17,0.895,0.531,0.667,0.952,0.625,0.755,0.955,0.656,0.778,0.75,0.75,0.75,0.75,0.75,0.75,0.955,0.656,0.778
SIR003_sl1000_mr1_nv10_18,1,0.455,0.625,0.792,0.576,0.667,0.792,0.576,0.667,0.727,0.727,0.727,0.828,0.727,0.774,0.846,0.667,0.746
SIR003_sl1000_mr1_nv10_19,1,0.484,0.653,0.722,0.609,0.661,0.722,0.609,0.661,0.656,0.656,0.656,0.771,0.578,0.661,0.792,0.594,0.679
SIR003_sl1000_mr1_nv10_2,0.844,0.429,0.568,0.709,0.619,0.661,0.707,0.651,0.678,0.688,0.698,0.693,0.755,0.635,0.69,0.804,0.587,0.679
SIR003_sl1000_mr1_nv10_20,0.947,0.522,0.673,0.821,0.667,0.736,0.828,0.696,0.756,0.652,0.652,0.652,0.786,0.638,0.704,0.878,0.623,0.729
SIR003_sl1000_mr1_nv10_3,0.933,0.609,0.737,0.9,0.783,0.837,0.905,0.826,0.864,0.739,0.739,0.739,0.8,0.696,0.744,0.905,0.826,0.864
SIR003_sl1000_mr1_nv10_4,1,0.621,0.766,0.84,0.724,0.778,0.84,0.724,0.778,0.724,0.724,0.724,0.8,0.69,0.741,0.957,0.759,0.846
SIR003_sl1000_mr1_nv10_5,1,0.556,0.714,1,0.444,0.615,1,0.444,0.615,0.556,0.556,0.556,1,0.556,0.714,1,0.444,0.615
SIR003_sl1000_mr1_nv10_6,1,0.567,0.723,0.741,0.667,0.702,0.741,0.667,0.702,0.733,0.733,0.733,0.95,0.633,0.76,0.875,0.7,0.778
SIR003_sl1000_mr1_nv10_7,1,0.625,0.769,0.75,0.75,0.75,0.75,0.75,0.75,0.625,0.625,0.625,0.833,0.625,0.714,1,0.75,0.857
SIR003_sl1000_mr1_nv10_8,0.955,0.6,0.737,0.7,0.6,0.646,0.667,0.629,0.647,0.714,0.714,0.714,0.926,0.714,0.806,0.846,0.629,0.721
SIR003_sl1000_mr1_nv10_9,1,0.667,0.8,1,0.556,0.714,1,0.556,0.714,0.889,0.889,0.889,0.667,0.667,0.667,1,0.556,0.714
sl1000 AVG,0.9145,0.52561,0.65739,0.82552,0.63319,0.71004,0.82122,0.64289,0.71481,0.70842,0.71352,0.7109,0.79344,0.66587,0.71954,0.8684,0.66668,0.74768
SIR003_sl250_mr05_nv10_1,0.68,0.531,0.596,0.762,0.5,0.604,0.762,0.5,0.604,0.556,0.625,0.588,0.559,0.594,0.576,0.704,0.594,0.644
SIR003_sl250_mr05_nv10_10,0.692,0.474,0.562,0.727,0.421,0.533,0.812,0.684,0.743,0.524,0.579,0.55,0.55,0.579,0.564,0.812,0.684,0.743
SIR003_sl250_mr05_nv10_11,0.429,0.25,0.316,1,0.25,0.4,0.714,0.417,0.526,0.467,0.583,0.519,0.429,0.25,0.316,0.571,0.333,0.421
SIR003_sl250_mr05_nv10_12,0.75,0.462,0.571,0.857,0.462,0.6,0.818,0.692,0.75,0.571,0.615,0.593,0.583,0.538,0.56,0.875,0.538,0.667
SIR003_sl250_mr05_nv10_13,0,0,0,1,0.143,0.25,1,0.286,0.444,0.125,0.143,0.133,0.2,0.143,0.167,0,0,0
SIR003_sl250_mr05_nv10_14,0.8,0.5,0.615,1,0.625,0.769,0.857,0.75,0.8,0.75,0.75,0.75,0.75,0.75,0.75,0.875,0.875,0.875
