host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,prop.gp.1,prop.gp.2
362,1100_to_1199,1149.5,10,10,1,1,0.1867819,0.1867819,0.293461,0.47131300000000004,0.25048091111111115,0.25048091111111115,0.1867819,0.1867819,0.293461,0.47131300000000004,0.25048091111111115,0.25048091111111115,1,0
509,1100_to_1199,1149.5,10,10,1,1,1.8981721,1.8981721,1.417325,4.263666000000001,2.9085515777777777,2.9085515777777777,1.8981721,1.8981721,1.417325,4.263666000000001,2.9085515777777777,2.9085515777777777,1,0
536,1100_to_1199,1149.5,10,10,1,1,2.6309736,2.6309736,1.8354080000000002,5.3062510000000005,3.2276117777777777,3.2276117777777777,2.6309736,2.6309736,1.8354080000000002,5.3062510000000005,3.2276117777777777,3.2276117777777777,1,0
542,1100_to_1199,1149.5,10,10,1,1,4.7203444999999995,4.7203444999999995,3.694448,10.472145,7.9006688222222214,7.9006688222222214,4.7203444999999995,4.7203444999999995,3.694448,10.472145,7.9006688222222214,7.9006688222222214,1,0
557,1100_to_1199,1149.5,10,10,1,1,4.0273547,4.0273547,4.199505,9.19989,6.914591577777777,6.914591577777777,4.0273547,4.0273547,4.199505,9.19989,6.914591577777777,6.914591577777777,1,0
641,1100_to_1199,1149.5,10,10,1,1,7.211561999999999,7.211561999999999,7.646651,16.898586,11.72642591111111,11.72642591111111,7.211561999999999,7.211561999999999,7.646651,16.898586,11.72642591111111,11.72642591111111,1,0
653,1100_to_1199,1149.5,10,10,1,5,0.29834429999999995,0.29834429999999995,0.41656499999999996,0.785864,0.3810562,0.3810562,0.29834429999999995,0.29834429999999995,0.41656499999999996,0.785864,0.3810562,0.3810562,1,0
759,1100_to_1199,1149.5,10,10,1,4,1.6479885000000003,1.6479885000000003,1.7894999999999999,3.260714,2.0615667777777777,2.0615667777777777,1.6479885000000003,1.6479885000000003,1.7894999999999999,3.260714,2.0615667777777777,2.0615667777777777,1,0
786,1100_to_1199,1149.5,10,10,1,4,14.442848400000003,14.442848400000003,9.716244,21.202488,17.082711333333332,17.082711333333332,14.442848400000003,14.442848400000003,9.716244,21.202488,17.082711333333332,17.082711333333332,1,0
888,1100_to_1199,1149.5,10,10,1,4,1.0986444999999998,1.0986444999999998,1.134485,2.366317,1.5902653111111111,1.5902653111111111,1.0986444999999998,1.0986444999999998,1.134485,2.366317,1.5902653111111111,1.5902653111111111,1,0
927,1100_to_1199,1149.5,10,10,1,1,1.4444178,1.4444178,1.236751,2.580052,1.9040358222222222,1.9040358222222222,1.4444178,1.4444178,1.236751,2.580052,1.9040358222222222,1.9040358222222222,1,0
957,1100_to_1199,1149.5,10,10,1,1,2.7055912000000006,2.7055912000000006,2.818474,5.8232990000000004,3.9733437333333335,3.9733437333333335,2.7055912000000006,2.7055912000000006,2.818474,5.8232990000000004,3.9733437333333335,3.9733437333333335,1,0
106,1200_to_1299,1249.5,10,10,1,1,1.1353008,1.1353008,1.1642869999999998,2.210109,1.0689038222222222,1.0689038222222222,1.1353008,1.1353008,1.1642869999999998,2.210109,1.0689038222222222,1.0689038222222222,1,0
108,1200_to_1299,1249.5,10,10,1,1,1.8715894,1.8715894,1.7162739999999999,4.437626,2.7182664888888888,2.7182664888888888,1.8715894,1.8715894,1.7162739999999999,4.437626,2.7182664888888888,2.7182664888888888,1,0
143,1200_to_1299,1249.5,10,10,1,7,1.8644949,1.8644949,2.118375,4.201143,3.1086366888888888,3.1086366888888888,1.8644949,1.8644949,2.118375,4.201143,3.1086366888888888,3.1086366888888888,1,0
167,1200_to_1299,1249.5,10,10,1,1,2.9668909,2.9668909,2.064,6.4261420000000005,4.540490288888889,4.540490288888889,2.9668909,2.9668909,2.064,6.4261420000000005,4.540490288888889,4.540490288888889,1,0
184,1200_to_1299,1249.5,10,10,1,1,1.5802878,1.5802878,1.417937,3.4614540000000007,2.507997733333333,2.507997733333333,1.5802878,1.5802878,1.417937,3.4614540000000007,2.507997733333333,2.507997733333333,1,0
210,1200_to_1299,1249.5,10,10,1,1,3.9664748000000003,3.9664748000000003,2.683151,9.013433000000001,6.777839511111111,6.777839511111111,3.9664748000000003,3.9664748000000003,2.683151,9.013433000000001,6.777839511111111,6.777839511111111,1,0
